Indicator,Year,Geography,FIPS,Cases,Rate per 100000
Congenital Syphilis,2013,Alaska,2,1,8.7
Congenital Syphilis,2014,Alaska,2,0,0
Congenital Syphilis,2015,Alaska,2,0,0
Congenital Syphilis,2016,Alaska,2,0,0
Congenital Syphilis,2017,Alaska,2,0,0
Congenital Syphilis,2018,Alaska,2,1,9.9
Congenital Syphilis,2019,Alaska,2,0,0
Congenital Syphilis,2020 (COVID-19 Pandemic),Alaska,2,8,84.5
Congenital Syphilis,2021,Alaska,2,5,53.4
"Early Non-Primary, Non-Secondary Syphilis",2000,Alaska,2,1,0.2
"Early Non-Primary, Non-Secondary Syphilis",2001,Alaska,2,0,0
"Early Non-Primary, Non-Secondary Syphilis",2002,Alaska,2,1,0.2
"Early Non-Primary, Non-Secondary Syphilis",2003,Alaska,2,0,0
"Early Non-Primary, Non-Secondary Syphilis",2004,Alaska,2,1,0.2
"Early Non-Primary, Non-Secondary Syphilis",2005,Alaska,2,8,1.2
"Early Non-Primary, Non-Secondary Syphilis",2006,Alaska,2,6,0.9
"Early Non-Primary, Non-Secondary Syphilis",2007,Alaska,2,3,0.4
"Early Non-Primary, Non-Secondary Syphilis",2008,Alaska,2,2,0.3
"Early Non-Primary, Non-Secondary Syphilis",2009,Alaska,2,0,0
"Early Non-Primary, Non-Secondary Syphilis",2010,Alaska,2,5,0.7
"Early Non-Primary, Non-Secondary Syphilis",2011,Alaska,2,3,0.4
"Early Non-Primary, Non-Secondary Syphilis",2012,Alaska,2,8,1.1
"Early Non-Primary, Non-Secondary Syphilis",2013,Alaska,2,8,1.1
"Early Non-Primary, Non-Secondary Syphilis",2014,Alaska,2,25,3.4
"Early Non-Primary, Non-Secondary Syphilis",2015,Alaska,2,13,1.8
"Early Non-Primary, Non-Secondary Syphilis",2016,Alaska,2,13,1.8
"Early Non-Primary, Non-Secondary Syphilis",2017,Alaska,2,9,1.2
"Early Non-Primary, Non-Secondary Syphilis",2018,Alaska,2,41,5.6
"Early Non-Primary, Non-Secondary Syphilis",2019,Alaska,2,78,10.7
"Early Non-Primary, Non-Secondary Syphilis",2020 (COVID-19 Pandemic),Alaska,2,130,17.7
"Early Non-Primary, Non-Secondary Syphilis",2021,Alaska,2,132,18
Gonorrhea,2000,Alaska,2,361,57.5
Gonorrhea,2001,Alaska,2,457,72.1
Gonorrhea,2002,Alaska,2,641,99.8
Gonorrhea,2003,Alaska,2,573,88.5
Gonorrhea,2004,Alaska,2,567,86
Gonorrhea,2005,Alaska,2,600,89.9
Gonorrhea,2006,Alaska,2,630,93.3
Gonorrhea,2007,Alaska,2,579,85.2
Gonorrhea,2008,Alaska,2,578,84.3
Gonorrhea,2009,Alaska,2,990,142.5
Gonorrhea,2010,Alaska,2,"1,273",178.3
Gonorrhea,2011,Alaska,2,984,136.3
Gonorrhea,2012,Alaska,2,726,99.4
Gonorrhea,2013,Alaska,2,"1,128",153
Gonorrhea,2014,Alaska,2,"1,341",182.1
Gonorrhea,2015,Alaska,2,"1,113",150.9
Gonorrhea,2016,Alaska,2,"1,454",196.1
Gonorrhea,2017,Alaska,2,"2,189",295.9
Gonorrhea,2018,Alaska,2,"2,247",305.7
Gonorrhea,2019,Alaska,2,"2,213",302.5
Gonorrhea,2020 (COVID-19 Pandemic),Alaska,2,"1,982",270.6
Gonorrhea,2021,Alaska,2,"1,977",269.8
Primary and Secondary Syphilis,2000,Alaska,2,0,0
Primary and Secondary Syphilis,2001,Alaska,2,0,0
Primary and Secondary Syphilis,2002,Alaska,2,0,0
Primary and Secondary Syphilis,2003,Alaska,2,1,0.2
Primary and Secondary Syphilis,2004,Alaska,2,8,1.2
Primary and Secondary Syphilis,2005,Alaska,2,9,1.3
Primary and Secondary Syphilis,2006,Alaska,2,11,1.6
Primary and Secondary Syphilis,2007,Alaska,2,7,1
Primary and Secondary Syphilis,2008,Alaska,2,1,0.1
Primary and Secondary Syphilis,2009,Alaska,2,0,0
Primary and Secondary Syphilis,2010,Alaska,2,3,0.4
Primary and Secondary Syphilis,2011,Alaska,2,5,0.7
Primary and Secondary Syphilis,2012,Alaska,2,11,1.5
Primary and Secondary Syphilis,2013,Alaska,2,23,3.1
Primary and Secondary Syphilis,2014,Alaska,2,15,2
Primary and Secondary Syphilis,2015,Alaska,2,8,1.1
Primary and Secondary Syphilis,2016,Alaska,2,8,1.1
Primary and Secondary Syphilis,2017,Alaska,2,13,1.8
Primary and Secondary Syphilis,2018,Alaska,2,55,7.5
Primary and Secondary Syphilis,2019,Alaska,2,129,17.6
Primary and Secondary Syphilis,2020 (COVID-19 Pandemic),Alaska,2,176,24
Primary and Secondary Syphilis,2021,Alaska,2,194,26.5
Chlamydia,2000,Arizona,4,"12,612",244.1
Chlamydia,2001,Arizona,4,"14,354",270.6
Chlamydia,2002,Arizona,4,"14,921",273.7
Chlamydia,2003,Arizona,4,"12,819",229.3
Chlamydia,2004,Arizona,4,"16,786",291.5
Chlamydia,2005,Arizona,4,"21,264",355.9
Chlamydia,2006,Arizona,4,"24,090",389.1
Chlamydia,2007,Arizona,4,"24,866",391
Chlamydia,2008,Arizona,4,"24,769",381.1
Chlamydia,2009,Arizona,4,"26,002",394.7
Chlamydia,2010,Arizona,4,"26,861",419.2
Chlamydia,2011,Arizona,4,"29,251",451.9
Chlamydia,2012,Arizona,4,"30,444",464.4
Chlamydia,2013,Arizona,4,"30,564",460.8
Chlamydia,2014,Arizona,4,"32,397",481.4
Chlamydia,2015,Arizona,4,"32,387",474.2
Chlamydia,2016,Arizona,4,"34,923",503.1
Chlamydia,2017,Arizona,4,"39,598",562.2
Chlamydia,2018,Arizona,4,"40,807",570.1
Chlamydia,2019,Arizona,4,"43,058",591.6
Chlamydia,2020 (COVID-19 Pandemic),Arizona,4,"37,289",519.5
Chlamydia,2021,Arizona,4,"41,498",570.3
Congenital Syphilis,2000,Arizona,4,27,31.7
Congenital Syphilis,2001,Arizona,4,31,36.2
Congenital Syphilis,2002,Arizona,4,20,22.8
Congenital Syphilis,2003,Arizona,4,29,31.9
Congenital Syphilis,2004,Arizona,4,26,27.8
Congenital Syphilis,2005,Arizona,4,28,29.1
Congenital Syphilis,2006,Arizona,4,16,15.6
Congenital Syphilis,2007,Arizona,4,30,29.1
Congenital Syphilis,2008,Arizona,4,30,30.2
Congenital Syphilis,2009,Arizona,4,28,30.2
Congenital Syphilis,2010,Arizona,4,16,18.3
Congenital Syphilis,2011,Arizona,4,15,17.5
Congenital Syphilis,2012,Arizona,4,14,16.2
Congenital Syphilis,2013,Arizona,4,14,16.4
Congenital Syphilis,2014,Arizona,4,13,15
Congenital Syphilis,2015,Arizona,4,14,16.4
Congenital Syphilis,2016,Arizona,4,17,20.1
Congenital Syphilis,2017,Arizona,4,32,39.1
Congenital Syphilis,2018,Arizona,4,61,75.6
Congenital Syphilis,2019,Arizona,4,109,137.3
Congenital Syphilis,2020 (COVID-19 Pandemic),Arizona,4,121,157.3
Congenital Syphilis,2021,Arizona,4,181,232.3
"Early Non-Primary, Non-Secondary Syphilis",2000,Arizona,4,248,4.8
"Early Non-Primary, Non-Secondary Syphilis",2001,Arizona,4,266,5
"Early Non-Primary, Non-Secondary Syphilis",2002,Arizona,4,200,3.7
"Early Non-Primary, Non-Secondary Syphilis",2003,Arizona,4,232,4.1
"Early Non-Primary, Non-Secondary Syphilis",2004,Arizona,4,219,3.8
"Early Non-Primary, Non-Secondary Syphilis",2005,Arizona,4,134,2.2
"Early Non-Primary, Non-Secondary Syphilis",2006,Arizona,4,186,3
"Early Non-Primary, Non-Secondary Syphilis",2007,Arizona,4,269,4.2
"Early Non-Primary, Non-Secondary Syphilis",2008,Arizona,4,258,4
"Early Non-Primary, Non-Secondary Syphilis",2009,Arizona,4,196,3
"Early Non-Primary, Non-Secondary Syphilis",2010,Arizona,4,166,2.6
"Early Non-Primary, Non-Secondary Syphilis",2011,Arizona,4,187,2.9
"Early Non-Primary, Non-Secondary Syphilis",2012,Arizona,4,147,2.2
"Early Non-Primary, Non-Secondary Syphilis",2013,Arizona,4,207,3.1
"Early Non-Primary, Non-Secondary Syphilis",2014,Arizona,4,311,4.6
"Early Non-Primary, Non-Secondary Syphilis",2015,Arizona,4,361,5.3
"Early Non-Primary, Non-Secondary Syphilis",2016,Arizona,4,488,7
"Early Non-Primary, Non-Secondary Syphilis",2017,Arizona,4,620,8.8
"Early Non-Primary, Non-Secondary Syphilis",2018,Arizona,4,898,12.5
"Early Non-Primary, Non-Secondary Syphilis",2019,Arizona,4,"1,179",16.2
"Early Non-Primary, Non-Secondary Syphilis",2020 (COVID-19 Pandemic),Arizona,4,"1,249",17.4
"Early Non-Primary, Non-Secondary Syphilis",2021,Arizona,4,"1,476",20.3
Gonorrhea,2000,Arizona,4,"4,136",80.1
Gonorrhea,2001,Arizona,4,"3,923",74
Gonorrhea,2002,Arizona,4,"3,779",69.3
Gonorrhea,2003,Arizona,4,"3,580",64
Gonorrhea,2004,Arizona,4,"4,065",70.6
Gonorrhea,2005,Arizona,4,"4,951",82.9
Gonorrhea,2006,Arizona,4,"5,949",96.1
Gonorrhea,2007,Arizona,4,"5,062",79.6
Gonorrhea,2008,Arizona,4,"3,449",53.1
Gonorrhea,2009,Arizona,4,"3,250",49.3
Gonorrhea,2010,Arizona,4,"3,249",50.7
Gonorrhea,2011,Arizona,4,"4,564",70.5
Gonorrhea,2012,Arizona,4,"5,809",88.6
Gonorrhea,2013,Arizona,4,"6,412",96.7
Gonorrhea,2014,Arizona,4,"7,750",115.1
Gonorrhea,2015,Arizona,4,"8,245",120.7
Gonorrhea,2016,Arizona,4,"10,330",148.8
Gonorrhea,2017,Arizona,4,"12,502",177.5
Gonorrhea,2018,Arizona,4,"12,870",179.8
Gonorrhea,2019,Arizona,4,"15,180",208.6
Gonorrhea,2020 (COVID-19 Pandemic),Arizona,4,"16,342",227.7
Gonorrhea,2021,Arizona,4,"18,426",253.2
Primary and Secondary Syphilis,2000,Arizona,4,189,3.7
Primary and Secondary Syphilis,2001,Arizona,4,180,3.4
Primary and Secondary Syphilis,2002,Arizona,4,200,3.7
Primary and Secondary Syphilis,2003,Arizona,4,186,3.3
Primary and Secondary Syphilis,2004,Arizona,4,157,2.7
Primary and Secondary Syphilis,2005,Arizona,4,175,2.9
Primary and Secondary Syphilis,2006,Arizona,4,203,3.3
Primary and Secondary Syphilis,2007,Arizona,4,296,4.7
Primary and Secondary Syphilis,2008,Arizona,4,317,4.9
Primary and Secondary Syphilis,2009,Arizona,4,231,3.5
Primary and Secondary Syphilis,2010,Arizona,4,230,3.6
Primary and Secondary Syphilis,2011,Arizona,4,274,4.2
Primary and Secondary Syphilis,2012,Arizona,4,202,3.1
Primary and Secondary Syphilis,2013,Arizona,4,287,4.3
Primary and Secondary Syphilis,2014,Arizona,4,577,8.6
Primary and Secondary Syphilis,2015,Arizona,4,589,8.6
Primary and Secondary Syphilis,2016,Arizona,4,721,10.4
Primary and Secondary Syphilis,2017,Arizona,4,943,13.4
Primary and Secondary Syphilis,2018,Arizona,4,"1,047",14.6
Primary and Secondary Syphilis,2019,Arizona,4,"1,290",17.7
Primary and Secondary Syphilis,2020 (COVID-19 Pandemic),Arizona,4,"1,454",20.3
Primary and Secondary Syphilis,2021,Arizona,4,"1,982",27.2
Chlamydia,2000,Arkansas,5,"6,219",232.2
Chlamydia,2001,Arkansas,5,"7,280",270.6
Chlamydia,2002,Arkansas,5,"7,312",270.4
Chlamydia,2003,Arkansas,5,"7,856",288.5
Chlamydia,2004,Arkansas,5,"7,864",286.4
Chlamydia,2005,Arkansas,5,"8,507",306.4
Chlamydia,2006,Arkansas,5,"8,259",293.4
Chlamydia,2007,Arkansas,5,"9,954",350.3
Chlamydia,2008,Arkansas,5,"14,136",493
Chlamydia,2009,Arkansas,5,"14,354",497.1
Chlamydia,2010,Arkansas,5,"15,424",527.9
Chlamydia,2011,Arkansas,5,"16,052",545.9
Chlamydia,2012,Arkansas,5,"16,611",562.7
Chlamydia,2013,Arkansas,5,"15,447",522
Chlamydia,2014,Arkansas,5,"15,605",525.9
Chlamydia,2015,Arkansas,5,"16,166",542.8
Chlamydia,2016,Arkansas,5,"16,737",559.8
Chlamydia,2017,Arkansas,5,"17,320",577.1
Chlamydia,2018,Arkansas,5,"17,663",586.9
Chlamydia,2019,Arkansas,5,"17,196",569.8
Chlamydia,2020 (COVID-19 Pandemic),Arkansas,5,"16,053",532.9
Chlamydia,2021,Arkansas,5,"17,936",592.8
Congenital Syphilis,2000,Arkansas,5,15,39.7
Congenital Syphilis,2001,Arkansas,5,6,16.2
Congenital Syphilis,2002,Arkansas,5,10,26.7
Congenital Syphilis,2003,Arkansas,5,2,5.3
Congenital Syphilis,2004,Arkansas,5,4,10.4
Congenital Syphilis,2005,Arkansas,5,7,17.9
Congenital Syphilis,2006,Arkansas,5,10,24.4
Congenital Syphilis,2007,Arkansas,5,12,29
Congenital Syphilis,2008,Arkansas,5,9,22.1
Congenital Syphilis,2009,Arkansas,5,10,25.1
Congenital Syphilis,2010,Arkansas,5,11,28.5
Congenital Syphilis,2011,Arkansas,5,15,38.7
Congenital Syphilis,2012,Arkansas,5,11,28.7
Congenital Syphilis,2013,Arkansas,5,12,31.7
Congenital Syphilis,2014,Arkansas,5,7,18.2
Congenital Syphilis,2015,Arkansas,5,5,12.9
Congenital Syphilis,2016,Arkansas,5,6,15.7
Congenital Syphilis,2017,Arkansas,5,8,21.3
Congenital Syphilis,2018,Arkansas,5,25,67.5
Congenital Syphilis,2019,Arkansas,5,21,57.4
Congenital Syphilis,2020 (COVID-19 Pandemic),Arkansas,5,23,65.2
Congenital Syphilis,2021,Arkansas,5,50,139
"Early Non-Primary, Non-Secondary Syphilis",2000,Arkansas,5,117,4.4
"Early Non-Primary, Non-Secondary Syphilis",2001,Arkansas,5,60,2.2
"Early Non-Primary, Non-Secondary Syphilis",2002,Arkansas,5,51,1.9
"Early Non-Primary, Non-Secondary Syphilis",2003,Arkansas,5,71,2.6
"Early Non-Primary, Non-Secondary Syphilis",2004,Arkansas,5,56,2
"Early Non-Primary, Non-Secondary Syphilis",2005,Arkansas,5,48,1.7
"Early Non-Primary, Non-Secondary Syphilis",2006,Arkansas,5,67,2.4
"Early Non-Primary, Non-Secondary Syphilis",2007,Arkansas,5,115,4
"Early Non-Primary, Non-Secondary Syphilis",2008,Arkansas,5,144,5
"Early Non-Primary, Non-Secondary Syphilis",2009,Arkansas,5,172,6
"Early Non-Primary, Non-Secondary Syphilis",2010,Arkansas,5,202,6.9
"Early Non-Primary, Non-Secondary Syphilis",2011,Arkansas,5,167,5.7
"Early Non-Primary, Non-Secondary Syphilis",2012,Arkansas,5,152,5.1
"Early Non-Primary, Non-Secondary Syphilis",2013,Arkansas,5,163,5.5
"Early Non-Primary, Non-Secondary Syphilis",2014,Arkansas,5,152,5.1
"Early Non-Primary, Non-Secondary Syphilis",2015,Arkansas,5,216,7.3
"Early Non-Primary, Non-Secondary Syphilis",2016,Arkansas,5,280,9.4
"Early Non-Primary, Non-Secondary Syphilis",2017,Arkansas,5,328,10.9
"Early Non-Primary, Non-Secondary Syphilis",2018,Arkansas,5,364,12.1
"Early Non-Primary, Non-Secondary Syphilis",2019,Arkansas,5,267,8.8
"Early Non-Primary, Non-Secondary Syphilis",2020 (COVID-19 Pandemic),Arkansas,5,234,7.8
"Early Non-Primary, Non-Secondary Syphilis",2021,Arkansas,5,527,17.4
Gonorrhea,2000,Arkansas,5,"3,642",136
Gonorrhea,2001,Arkansas,5,"4,604",171.1
Gonorrhea,2002,Arkansas,5,"4,584",169.5
Gonorrhea,2003,Arkansas,5,"4,251",156.1
Gonorrhea,2004,Arkansas,5,"4,137",150.6
Gonorrhea,2005,Arkansas,5,"4,476",161.2
Gonorrhea,2006,Arkansas,5,"4,306",153
Gonorrhea,2007,Arkansas,5,"4,168",146.7
Gonorrhea,2008,Arkansas,5,"4,514",157.4
Gonorrhea,2009,Arkansas,5,"4,460",154.5
Gonorrhea,2010,Arkansas,5,"4,769",163.2
Gonorrhea,2011,Arkansas,5,"4,687",159.4
Gonorrhea,2012,Arkansas,5,"4,307",145.9
Gonorrhea,2013,Arkansas,5,"4,007",135.4
Gonorrhea,2014,Arkansas,5,"4,539",153
Gonorrhea,2015,Arkansas,5,"4,780",160.5
Gonorrhea,2016,Arkansas,5,"5,732",191.7
Gonorrhea,2017,Arkansas,5,"6,710",223.6
Gonorrhea,2018,Arkansas,5,"7,300",242.5
Gonorrhea,2019,Arkansas,5,"6,907",228.9
Gonorrhea,2020 (COVID-19 Pandemic),Arkansas,5,"7,857",260.8
Gonorrhea,2021,Arkansas,5,"8,176",270.2
Primary and Secondary Syphilis,2000,Arkansas,5,104,3.9
Primary and Secondary Syphilis,2001,Arkansas,5,49,1.8
Primary and Secondary Syphilis,2002,Arkansas,5,34,1.3
Primary and Secondary Syphilis,2003,Arkansas,5,51,1.9
Primary and Secondary Syphilis,2004,Arkansas,5,47,1.7
Primary and Secondary Syphilis,2005,Arkansas,5,52,1.9
Primary and Secondary Syphilis,2006,Arkansas,5,77,2.7
Primary and Secondary Syphilis,2007,Arkansas,5,122,4.3
Primary and Secondary Syphilis,2008,Arkansas,5,206,7.2
Primary and Secondary Syphilis,2009,Arkansas,5,275,9.5
Primary and Secondary Syphilis,2010,Arkansas,5,205,7
Primary and Secondary Syphilis,2011,Arkansas,5,182,6.2
Primary and Secondary Syphilis,2012,Arkansas,5,173,5.9
Primary and Secondary Syphilis,2013,Arkansas,5,177,6
Primary and Secondary Syphilis,2014,Arkansas,5,121,4.1
Primary and Secondary Syphilis,2015,Arkansas,5,134,4.5
Primary and Secondary Syphilis,2016,Arkansas,5,150,5
Primary and Secondary Syphilis,2017,Arkansas,5,234,7.8
Primary and Secondary Syphilis,2018,Arkansas,5,288,9.6
Primary and Secondary Syphilis,2019,Arkansas,5,404,13.4
Primary and Secondary Syphilis,2020 (COVID-19 Pandemic),Arkansas,5,502,16.7
Primary and Secondary Syphilis,2021,Arkansas,5,990,32.7
Chlamydia,2000,California,6,"95,316",280.4
Chlamydia,2001,California,6,"101,915",295.6
Chlamydia,2002,California,6,"110,288",316.3
Chlamydia,2003,California,6,"117,428",333.3
Chlamydia,2004,California,6,"122,197",343.8
Chlamydia,2005,California,6,"130,716",365.4
Chlamydia,2006,California,6,"135,827",377.8
Chlamydia,2007,California,6,"141,928",392.2
Chlamydia,2008,California,6,"148,798",407.2
Chlamydia,2009,California,6,"146,796",398
Chlamydia,2010,California,6,"150,443",403.1
Chlamydia,2011,California,6,"166,773",443.1
Chlamydia,2012,California,6,"167,695",441.9
Chlamydia,2013,California,6,"167,346",437.4
Chlamydia,2014,California,6,"176,308",456.8
Chlamydia,2015,California,6,"189,170",486.1
Chlamydia,2016,California,6,"198,155",505.9
Chlamydia,2017,California,6,"218,785",555.9
Chlamydia,2018,California,6,"231,415",586.4
Chlamydia,2019,California,6,"236,719",599.1
Chlamydia,2020 (COVID-19 Pandemic),California,6,"178,679",452.4
Chlamydia,2021,California,6,"191,542",488.2
Congenital Syphilis,2000,California,6,86,16.2
Congenital Syphilis,2001,California,6,63,11.9
Congenital Syphilis,2002,California,6,61,11.5
Congenital Syphilis,2003,California,6,64,11.8
Congenital Syphilis,2004,California,6,68,12.5
Congenital Syphilis,2005,California,6,75,13.7
Congenital Syphilis,2006,California,6,69,12.3
