Indicator,Year,Geography,FIPS,Numerator,Percent
Vacant housing,2013,Arkansas,5,"203,878",15.3
Vacant housing,2014,Arkansas,5,"209,793",15.6
Vacant housing,2015,Arkansas,5,"202,935",15.1
Vacant housing,2016,Arkansas,5,"212,083",15.7
Vacant housing,2017,Arkansas,5,"217,027",15.8
Vacant housing,2018,Arkansas,5,"224,174",16.2
Vacant housing,2019,Arkansas,5,"225,512",16.2
Vacant housing,2020 (COVID-19 Pandemic),Arkansas,5,"215,488",15.4
Vacant housing,2021,Arkansas,5,"197,093",14.3
Households living below the federal poverty level,2011,California,6,"1,056,296",12.4
Households living below the federal poverty level,2012,California,6,"1,107,567",12.9
Households living below the federal poverty level,2013,California,6,"1,089,392",12.6
Households living below the federal poverty level,2014,California,6,"1,068,971",12.2
Households living below the federal poverty level,2015,California,6,"998,457",11.3
Households living below the federal poverty level,2016,California,6,"933,215",10.5
Households living below the federal poverty level,2017,California,6,"855,419",9.6
Households living below the federal poverty level,2018,California,6,"813,051",9.1
Households living below the federal poverty level,2019,California,6,"735,757",8.2
Households living below the federal poverty level,2020 (COVID-19 Pandemic),California,6,"686,797",7.7
Households living below the federal poverty level,2021,California,6,"823,195",9
Population 25 years and older w/o HS diploma,2011,California,6,"4,619,892",18.9
Population 25 years and older w/o HS diploma,2012,California,6,"4,584,260",18.5
Population 25 years and older w/o HS diploma,2013,California,6,"4,601,943",18.3
Population 25 years and older w/o HS diploma,2014,California,6,"4,592,118",17.9
Population 25 years and older w/o HS diploma,2015,California,6,"4,643,510",17.8
Population 25 years and older w/o HS diploma,2016,California,6,"4,618,663",17.5
Population 25 years and older w/o HS diploma,2017,California,6,"4,449,302",16.7
Population 25 years and older w/o HS diploma,2018,California,6,"4,355,017",16.2
Population 25 years and older w/o HS diploma,2019,California,6,"4,301,513",16
Population 25 years and older w/o HS diploma,2020 (COVID-19 Pandemic),California,6,"4,201,241",15.6
Population 25 years and older w/o HS diploma,2021,California,6,"4,184,879",15.6
Uninsured,2011,California,6,"6,725,604",18.1
Uninsured,2012,California,6,"6,709,586",17.9
Uninsured,2013,California,6,"6,500,179",17.2
Uninsured,2014,California,6,"4,766,711",12.4
Uninsured,2015,California,6,"3,317,265",8.6
Uninsured,2016,California,6,"2,843,903",7.3
Uninsured,2017,California,6,"2,796,589",7.2
Uninsured,2018,California,6,"2,825,620",7.2
Uninsured,2019,California,6,"3,001,997",7.7
Uninsured,2020 (COVID-19 Pandemic),California,6,"2,747,459",7.1
Uninsured,2021,California,6,"2,712,540",7
Vacant housing,2011,California,6,"1,252,444",9.1
Vacant housing,2012,California,6,"1,155,539",8.4
Vacant housing,2013,California,6,"1,140,670",8.3
Vacant housing,2014,California,6,"1,142,946",8.2
Vacant housing,2015,California,6,"1,092,042",7.8
Vacant housing,2016,California,6,"1,117,197",7.9
Vacant housing,2017,California,6,"1,172,173",8.3
Vacant housing,2018,California,6,"1,205,745",8.4
Vacant housing,2019,California,6,"1,209,139",8.4
Vacant housing,2020 (COVID-19 Pandemic),California,6,"1,248,161",8.7
Vacant housing,2021,California,6,"1,083,086",7.5
Households living below the federal poverty level,2011,Colorado,8,"114,339",9.1
Households living below the federal poverty level,2012,Colorado,8,"118,879",9.3
Households living below the federal poverty level,2013,Colorado,8,"111,355",8.7
Households living below the federal poverty level,2014,Colorado,8,"105,223",8
Households living below the federal poverty level,2015,Colorado,8,"101,221",7.6
Households living below the federal poverty level,2016,Colorado,8,"94,356",7
Households living below the federal poverty level,2017,Colorado,8,"91,576",6.7
Households living below the federal poverty level,2018,Colorado,8,"85,108",6.2
Households living below the federal poverty level,2019,Colorado,8,"82,467",5.8
Households living below the federal poverty level,2020 (COVID-19 Pandemic),Colorado,8,"73,003",5.4
Households living below the federal poverty level,2021,Colorado,8,"89,816",6.2
Population 25 years and older w/o HS diploma,2011,Colorado,8,"331,956",9.8
Population 25 years and older w/o HS diploma,2012,Colorado,8,"323,797",9.4
Population 25 years and older w/o HS diploma,2013,Colorado,8,"333,852",9.5
Population 25 years and older w/o HS diploma,2014,Colorado,8,"336,940",9.4
Population 25 years and older w/o HS diploma,2015,Colorado,8,"323,853",8.8
Population 25 years and older w/o HS diploma,2016,Colorado,8,"320,586",8.5
Population 25 years and older w/o HS diploma,2017,Colorado,8,"319,636",8.4
Population 25 years and older w/o HS diploma,2018,Colorado,8,"317,116",8.2
Population 25 years and older w/o HS diploma,2019,Colorado,8,"302,220",7.6
Population 25 years and older w/o HS diploma,2020 (COVID-19 Pandemic),Colorado,8,"294,150",7.3
Population 25 years and older w/o HS diploma,2021,Colorado,8,"305,974",7.6
Uninsured,2011,Colorado,8,"759,619",15.1
Uninsured,2012,Colorado,8,"751,244",14.7
Uninsured,2013,Colorado,8,"729,188",14.1
Uninsured,2014,Colorado,8,"542,611",10.3
Uninsured,2015,Colorado,8,"432,622",8.1
Uninsured,2016,Colorado,8,"409,743",7.5
Uninsured,2017,Colorado,8,"414,077",7.5
Uninsured,2018,Colorado,8,"421,644",7.5
Uninsured,2019,Colorado,8,"453,475",8
Uninsured,2020 (COVID-19 Pandemic),Colorado,8,"482,390",8.4
Uninsured,2021,Colorado,8,"455,360",8
Vacant housing,2011,Colorado,8,"249,273",11.2
Vacant housing,2012,Colorado,8,"234,448",10.5
Vacant housing,2013,Colorado,8,"244,491",10.9
Vacant housing,2014,Colorado,8,"236,688",10.4
Vacant housing,2015,Colorado,8,"234,387",10.2
Vacant housing,2016,Colorado,8,"230,148",9.8
Vacant housing,2017,Colorado,8,"246,288",10.3
Vacant housing,2018,Colorado,8,"247,371",10.2
Vacant housing,2019,Colorado,8,"229,006",9.3
Vacant housing,2020 (COVID-19 Pandemic),Colorado,8,"231,009",9.5
Vacant housing,2021,Colorado,8,"227,741",9
Households living below the federal poverty level,2011,Connecticut,9,"70,555",7.9
Households living below the federal poverty level,2012,Connecticut,9,"71,287",7.9
Households living below the federal poverty level,2013,Connecticut,9,"67,662",7.6
Households living below the federal poverty level,2014,Connecticut,9,"66,545",7.5
Households living below the federal poverty level,2015,Connecticut,9,"64,838",7.4
Households living below the federal poverty level,2016,Connecticut,9,"59,881",6.8
Households living below the federal poverty level,2017,Connecticut,9,"56,147",6.4
Households living below the federal poverty level,2018,Connecticut,9,"63,327",7.1
Households living below the federal poverty level,2019,Connecticut,9,"60,242",6.8
Households living below the federal poverty level,2020 (COVID-19 Pandemic),Connecticut,9,"56,995",6.4
Households living below the federal poverty level,2021,Connecticut,9,"61,396",6.7
Population 25 years and older w/o HS diploma,2011,Connecticut,9,"266,440",10.9
Population 25 years and older w/o HS diploma,2012,Connecticut,9,"250,714",10.2
Population 25 years and older w/o HS diploma,2013,Connecticut,9,"256,393",10.4
Population 25 years and older w/o HS diploma,2014,Connecticut,9,"247,182",10
Population 25 years and older w/o HS diploma,2015,Connecticut,9,"242,268",9.8
Population 25 years and older w/o HS diploma,2016,Connecticut,9,"233,935",9.5
Population 25 years and older w/o HS diploma,2017,Connecticut,9,"239,289",9.6
Population 25 years and older w/o HS diploma,2018,Connecticut,9,"226,254",9.1
Population 25 years and older w/o HS diploma,2019,Connecticut,9,"231,839",9.3
Population 25 years and older w/o HS diploma,2020 (COVID-19 Pandemic),Connecticut,9,"209,120",8.4
Population 25 years and older w/o HS diploma,2021,Connecticut,9,"225,191",8.9
Uninsured,2011,Connecticut,9,"308,945",8.8
Uninsured,2012,Connecticut,9,"321,972",9.1
Uninsured,2013,Connecticut,9,"332,503",9.4
Uninsured,2014,Connecticut,9,"245,399",6.9
Uninsured,2015,Connecticut,9,"210,522",6
Uninsured,2016,Connecticut,9,"172,214",4.9
Uninsured,2017,Connecticut,9,"193,796",5.5
Uninsured,2018,Connecticut,9,"186,923",5.3
Uninsured,2019,Connecticut,9,"207,184",5.9
Uninsured,2020 (COVID-19 Pandemic),Connecticut,9,"163,049",4.6
Uninsured,2021,Connecticut,9,"183,531",5.2
Vacant housing,2011,Connecticut,9,"142,399",9.5
Vacant housing,2012,Connecticut,9,"130,190",8.7
Vacant housing,2013,Connecticut,9,"148,212",10
Vacant housing,2014,Connecticut,9,"137,815",9.2
Vacant housing,2015,Connecticut,9,"152,353",10.2
Vacant housing,2016,Connecticut,9,"141,876",9.5
Vacant housing,2017,Connecticut,9,"160,733",10.6
Vacant housing,2018,Connecticut,9,"143,032",9.4
Vacant housing,2019,Connecticut,9,"147,793",9.7
Vacant housing,2020 (COVID-19 Pandemic),Connecticut,9,"123,819",8.1
Vacant housing,2021,Connecticut,9,"108,014",7
Households living below the federal poverty level,2011,Delaware,10,"18,168",8
Households living below the federal poverty level,2012,Delaware,10,"18,499",8.2
Households living below the federal poverty level,2013,Delaware,10,"19,411",8.5
Households living below the federal poverty level,2014,Delaware,10,"19,805",8.5
Households living below the federal poverty level,2015,Delaware,10,"20,478",8.7
Households living below the federal poverty level,2016,Delaware,10,"18,827",8.1
Households living below the federal poverty level,2017,Delaware,10,"21,693",9.2
Households living below the federal poverty level,2018,Delaware,10,"20,026",8.4
Households living below the federal poverty level,2019,Delaware,10,"18,436",7.6
Households living below the federal poverty level,2020 (COVID-19 Pandemic),Delaware,10,"17,311",7.2
Households living below the federal poverty level,2021,Delaware,10,"22,051",8.6
Population 25 years and older w/o HS diploma,2011,Delaware,10,"79,446",13
Population 25 years and older w/o HS diploma,2012,Delaware,10,"71,140",11.5
Population 25 years and older w/o HS diploma,2013,Delaware,10,"73,049",11.6
Population 25 years and older w/o HS diploma,2014,Delaware,10,"71,078",11.1
Population 25 years and older w/o HS diploma,2015,Delaware,10,"72,355",11.1
Population 25 years and older w/o HS diploma,2016,Delaware,10,"70,594",10.7
Population 25 years and older w/o HS diploma,2017,Delaware,10,"63,551",9.4
Population 25 years and older w/o HS diploma,2018,Delaware,10,"69,081",10.2
Population 25 years and older w/o HS diploma,2019,Delaware,10,"66,522",9.7
Population 25 years and older w/o HS diploma,2020 (COVID-19 Pandemic),Delaware,10,"63,147",9
Population 25 years and older w/o HS diploma,2021,Delaware,10,"61,466",8.6
Uninsured,2011,Delaware,10,"83,995",9.4
Uninsured,2012,Delaware,10,"79,894",8.8
Uninsured,2013,Delaware,10,"83,284",9.1
Uninsured,2014,Delaware,10,"71,597",7.8
Uninsured,2015,Delaware,10,"54,498",5.9
Uninsured,2016,Delaware,10,"53,139",5.7
Uninsured,2017,Delaware,10,"51,243",5.4
Uninsured,2018,Delaware,10,"53,962",5.7
Uninsured,2019,Delaware,10,"62,770",6.6
Uninsured,2020 (COVID-19 Pandemic),Delaware,10,"61,597",6.3
Uninsured,2021,Delaware,10,"56,726",5.7
Vacant housing,2011,Delaware,10,"76,587",18.7
Vacant housing,2012,Delaware,10,"70,000",17.1
Vacant housing,2013,Delaware,10,"72,944",17.7
Vacant housing,2014,Delaware,10,"67,670",16.2
Vacant housing,2015,Delaware,10,"69,139",16.4
Vacant housing,2016,Delaware,10,"75,069",17.6
Vacant housing,2017,Delaware,10,"74,916",17.3
Vacant housing,2018,Delaware,10,"70,988",16.2
Vacant housing,2019,Delaware,10,"67,525",15.2
Vacant housing,2020 (COVID-19 Pandemic),Delaware,10,"61,759",13.7
Vacant housing,2021,Delaware,10,"62,322",13.6
Households living below the federal poverty level,2011,District of Columbia,11,"17,563",15.4
Households living below the federal poverty level,2012,District of Columbia,11,"15,637",13.9
Households living below the federal poverty level,2013,District of Columbia,11,"18,913",15.7
Households living below the federal poverty level,2014,District of Columbia,11,"16,737",14.2
Households living below the federal poverty level,2015,District of Columbia,11,"17,525",14
Households living below the federal poverty level,2016,District of Columbia,11,"16,814",13.7
Households living below the federal poverty level,2017,District of Columbia,11,"15,874",13.3
Households living below the federal poverty level,2018,District of Columbia,11,"13,733",11.3
Households living below the federal poverty level,2019,District of Columbia,11,"10,998",8.8
Households living below the federal poverty level,2020 (COVID-19 Pandemic),District of Columbia,11,"8,849",8
Households living below the federal poverty level,2021,District of Columbia,11,"16,477",12.8
Population 25 years and older w/o HS diploma,2011,District of Columbia,11,"54,817",12.8
Population 25 years and older w/o HS diploma,2012,District of Columbia,11,"50,107",11.4
Population 25 years and older w/o HS diploma,2013,District of Columbia,11,"44,848",9.9
Population 25 years and older w/o HS diploma,2014,District of Columbia,11,"45,395",9.8
Population 25 years and older w/o HS diploma,2015,District of Columbia,11,"48,249",10.2
Population 25 years and older w/o HS diploma,2016,District of Columbia,11,"45,743",9.6
Population 25 years and older w/o HS diploma,2017,District of Columbia,11,"48,331",9.8
Population 25 years and older w/o HS diploma,2018,District of Columbia,11,"39,628",7.9
Population 25 years and older w/o HS diploma,2019,District of Columbia,11,"41,168",8.1
Population 25 years and older w/o HS diploma,2020 (COVID-19 Pandemic),District of Columbia,11,"31,640",6.2
Population 25 years and older w/o HS diploma,2021,District of Columbia,11,"34,541",7.2
Uninsured,2011,District of Columbia,11,"42,007",6.9
Uninsured,2012,District of Columbia,11,"36,854",5.9
Uninsured,2013,District of Columbia,11,"42,295",6.7
Uninsured,2014,District of Columbia,11,"34,188",5.3
Uninsured,2015,District of Columbia,11,"24,980",3.8
Uninsured,2016,District of Columbia,11,"26,346",3.9
Uninsured,2017,District of Columbia,11,"26,011",3.8
Uninsured,2018,District of Columbia,11,"21,897",3.2
Uninsured,2019,District of Columbia,11,"24,506",3.5
Uninsured,2020 (COVID-19 Pandemic),District of Columbia,11,"24,280",3.5
Uninsured,2021,District of Columbia,11,"24,227",3.7
Vacant housing,2011,District of Columbia,11,"30,238",10.1
Vacant housing,2012,District of Columbia,11,"33,585",11.2
Vacant housing,2013,District of Columbia,11,"31,324",10.3
Vacant housing,2014,District of Columbia,11,"28,806",9.4
Vacant housing,2015,District of Columbia,11,"27,809",9
Vacant housing,2016,District of Columbia,11,"32,462",10.3
Vacant housing,2017,District of Columbia,11,"33,368",10.6
Vacant housing,2018,District of Columbia,11,"32,103",10
Vacant housing,2019,District of Columbia,11,"31,244",9.7
Vacant housing,2020 (COVID-19 Pandemic),District of Columbia,11,"35,838",10.9
Vacant housing,2021,District of Columbia,11,"37,917",10.6
Households living below the federal poverty level,2011,Florida,12,"565,422",12.4
Households living below the federal poverty level,2012,Florida,12,"579,376",12.6
Households living below the federal poverty level,2013,Florida,12,"573,672",12.4
Households living below the federal poverty level,2014,Florida,12,"563,209",12
Households living below the federal poverty level,2015,Florida,12,"543,147",11.3
Households living below the federal poverty level,2016,Florida,12,"510,768",10.5
Households living below the federal poverty level,2017,Florida,12,"499,294",10.1
Households living below the federal poverty level,2018,Florida,12,"487,572",9.7
Households living below the federal poverty level,2019,Florida,12,"442,245",8.7
Households living below the federal poverty level,2020 (COVID-19 Pandemic),Florida,12,"398,844",7.8
Households living below the federal poverty level,2021,Florida,12,"518,002",9.4
Population 25 years and older w/o HS diploma,2011,Florida,12,"1,857,461",14
Population 25 years and older w/o HS diploma,2012,Florida,12,"1,823,006",13.5
Population 25 years and older w/o HS diploma,2013,Florida,12,"1,811,963",13.2
Population 25 years and older w/o HS diploma,2014,Florida,12,"1,797,273",12.8
Population 25 years and older w/o HS diploma,2015,Florida,12,"1,781,252",12.4
Population 25 years and older w/o HS diploma,2016,Florida,12,"1,855,213",12.6
Population 25 years and older w/o HS diploma,2017,Florida,12,"1,745,933",11.6
Population 25 years and older w/o HS diploma,2018,Florida,12,"1,761,732",11.5
Population 25 years and older w/o HS diploma,2019,Florida,12,"1,794,635",11.6
Population 25 years and older w/o HS diploma,2020 (COVID-19 Pandemic),Florida,12,"1,638,260",10.4
Population 25 years and older w/o HS diploma,2021,Florida,12,"1,608,543",10.2
Uninsured,2011,Florida,12,"3,911,381",20.9
Uninsured,2012,Florida,12,"3,815,840",20.1
Uninsured,2013,Florida,12,"3,852,963",20
Uninsured,2014,Florida,12,"3,245,161",16.6
Uninsured,2015,Florida,12,"2,661,549",13.3
Uninsured,2016,Florida,12,"2,544,247",12.5
Uninsured,2017,Florida,12,"2,676,147",12.9
Uninsured,2018,Florida,12,"2,728,485",13
Uninsured,2019,Florida,12,"2,784,348",13.2
Uninsured,2020 (COVID-19 Pandemic),Florida,12,"2,643,624",12.4
Uninsured,2021,Florida,12,"2,598,467",12.1
Vacant housing,2011,Florida,12,"1,920,988",21.3
Vacant housing,2012,Florida,12,"1,833,587",20.3
Vacant housing,2013,Florida,12,"1,836,389",20.3
Vacant housing,2014,Florida,12,"1,816,604",19.9
Vacant housing,2015,Florida,12,"1,747,103",19
Vacant housing,2016,Florida,12,"1,728,684",18.6
Vacant housing,2017,Florida,12,"1,751,621",18.6
Vacant housing,2018,Florida,12,"1,738,404",18.2
Vacant housing,2019,Florida,12,"1,768,221",18.3
Vacant housing,2020 (COVID-19 Pandemic),Florida,12,"1,680,844",17.1
Vacant housing,2021,Florida,12,"1,489,180",14.8
Households living below the federal poverty level,2011,Georgia,13,"349,273",14.7
Households living below the federal poverty level,2012,Georgia,13,"360,934",15
Households living below the federal poverty level,2013,Georgia,13,"346,521",14.5
Households living below the federal poverty level,2014,Georgia,13,"342,121",14.1
Households living below the federal poverty level,2015,Georgia,13,"320,634",13
Households living below the federal poverty level,2016,Georgia,13,"297,480",12
Households living below the federal poverty level,2017,Georgia,13,"280,362",11.1
Households living below the federal poverty level,2018,Georgia,13,"274,040",10.8
Households living below the federal poverty level,2019,Georgia,13,"245,322",9.6
Households living below the federal poverty level,2020 (COVID-19 Pandemic),Georgia,13,"235,523",9.3
Households living below the federal poverty level,2021,Georgia,13,"283,577",10.6
Population 25 years and older w/o HS diploma,2011,Georgia,13,"984,198",15.6
